    0.000000E+00    0.500000E+01    0.458530E+05    0.000000E+00
    0.360000E+04    0.510073E-01    0.137236E+01    0.108693E-01
    0.720000E+04    0.514894E-01    0.126684E+01    0.894889E-02
    0.108000E+05    0.520065E-01    0.127309E+01    0.717260E-02
    0.144000E+05    0.525482E-01    0.129062E+01    0.555485E-02
    0.180000E+05    0.464252E+00    0.142921E+02    0.328153E-02
    0.216000E+05    0.196887E+00    0.564281E+01    0.540097E-03
    0.252000E+05    0.102930E+00    0.308587E+01    0.740587E-03
    0.288000E+05    0.976784E-01    0.290885E+01    0.263347E-02
    0.324000E+05    0.945293E-01    0.280372E+01    0.395883E-02
    0.360000E+05    0.911495E-01    0.270473E+01    0.371771E-02
    0.396000E+05    0.887033E-01    0.262959E+01    0.406143E-02
    0.432000E+05    0.870181E-01    0.257163E+01    0.491571E-02
    0.468000E+05    0.859035E-01    0.252776E+01    0.608252E-02
    0.504000E+05    0.851223E-01    0.249288E+01    0.735729E-02
    0.540000E+05    0.841932E-01    0.245625E+01    0.827550E-02
    0.576000E+05    0.823016E-01    0.240127E+01    0.798652E-02
    0.612000E+05    0.786633E-01    0.231062E+01    0.574912E-02
    0.648000E+05    0.740243E-01    0.219748E+01    0.294505E-02
    0.684000E+05    0.678204E-01    0.201842E+01    0.187050E-02
    0.720000E+05    0.390770E-01    0.114190E+01    0.344869E-02
    0.756000E+05    0.288665E-01    0.820947E+00    0.474495E-02
    0.792000E+05    0.226255E-01    0.628985E+00    0.516987E-02
    0.828000E+05    0.216588E-01    0.595750E+00    0.518841E-02
    0.864000E+05    0.224408E-01    0.614245E+00    0.504618E-02
    0.900000E+05    0.235949E-01    0.642976E+00    0.484141E-02
    0.936000E+05    0.249217E-01    0.676382E+00    0.460996E-02
    0.972000E+05    0.263831E-01    0.712639E+00    0.436377E-02
    0.100800E+06    0.279497E-01    0.751561E+00    0.411072E-02
    0.104400E+06    0.931904E+00    0.268588E+02    0.183139E-02
    0.108000E+06    0.761856E-01    0.227839E+01    0.545772E-03
    0.111600E+06    0.728915E-01    0.217028E+01    0.906753E-03
    0.115200E+06    0.732511E-01    0.216910E+01    0.137117E-02
    0.118800E+06    0.735270E-01    0.217263E+01    0.173161E-02
    0.122400E+06    0.737916E-01    0.217692E+01    0.228049E-02
    0.126000E+06    0.741831E-01    0.218370E+01    0.314312E-02
    0.129600E+06    0.748172E-01    0.219282E+01    0.434904E-02
    0.133200E+06    0.757238E-01    0.220762E+01    0.588788E-02
    0.136800E+06    0.767416E-01    0.222346E+01    0.758449E-02
    0.140400E+06    0.773411E-01    0.223016E+01    0.884795E-02
    0.144000E+06    0.765642E-01    0.220883E+01    0.858303E-02
    0.147600E+06    0.735258E-01    0.213995E+01    0.591031E-02
    0.151200E+06    0.693513E-01    0.204411E+01    0.280212E-02
    0.154800E+06    0.638080E-01    0.188648E+01    0.178524E-02
    0.158400E+06    0.409295E-01    0.119068E+01    0.344097E-02
    0.162000E+06    0.313317E-01    0.890025E+00    0.474138E-02
    0.165600E+06    0.236783E-01    0.656876E+00    0.518936E-02
    0.169200E+06    0.215280E-01    0.589938E+00    0.519058E-02
    0.172800E+06    0.218972E-01    0.597547E+00    0.498911E-02
    0.176400E+06    0.228364E-01    0.621395E+00    0.470300E-02
    0.180000E+06    0.239805E-01    0.650385E+00    0.438170E-02
    0.183600E+06    0.252855E-01    0.683324E+00    0.404860E-02
    0.187200E+06    0.267277E-01    0.719382E+00    0.371695E-02
    0.190800E+06    0.934780E+00    0.266060E+02    0.145198E-02
    0.194400E+06    0.740726E-01    0.219910E+01    0.430011E-03
    0.198000E+06    0.703451E-01    0.208045E+01    0.720857E-03
    0.201600E+06    0.710081E-01    0.208898E+01    0.114685E-02
    0.205200E+06    0.716133E-01    0.210407E+01    0.153652E-02
    0.208800E+06    0.721709E-01    0.211773E+01    0.212130E-02
    0.212400E+06    0.728400E-01    0.213171E+01    0.306259E-02
    0.216000E+06    0.737892E-01    0.214873E+01    0.445255E-02
    0.219600E+06    0.750691E-01    0.217166E+01    0.629392E-02
    0.223200E+06    0.764679E-01    0.219486E+01    0.832757E-02
    0.226800E+06    0.773362E-01    0.220816E+01    0.978362E-02
    0.230400E+06    0.765899E-01    0.218880E+01    0.939232E-02
    0.234000E+06    0.732835E-01    0.211786E+01    0.621974E-02
    0.237600E+06    0.687403E-01    0.201442E+01    0.273457E-02
    0.241200E+06    0.631627E-01    0.185663E+01    0.173427E-02
    0.244800E+06    0.430582E-01    0.124752E+01    0.344276E-02
    0.248400E+06    0.339137E-01    0.962591E+00    0.466302E-02
    0.252000E+06    0.250821E-01    0.696148E+00    0.507682E-02
    0.255600E+06    0.215642E-01    0.590248E+00    0.504126E-02
    0.259200E+06    0.214131E-01    0.583641E+00    0.478120E-02
