 Time    DRAD001001  DRAD001002  WRAD001001  WRAD001002  NP001001    NP001002    Temp   relhum 
    0.864000E+05    0.949345E-07    0.223157E-05    0.179085E-06    0.513281E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.900000E+05    0.949309E-07    0.223156E-05    0.179082E-06    0.513285E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.936000E+05    0.949268E-07    0.223154E-05    0.179081E-06    0.513289E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.972000E+05    0.949228E-07    0.223153E-05    0.179080E-06    0.513292E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.100800E+06    0.949190E-07    0.223151E-05    0.179078E-06    0.513295E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.104400E+06    0.949158E-07    0.223150E-05    0.179077E-06    0.513294E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.108000E+06    0.949359E-07    0.223152E-05    0.179088E-06    0.513285E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.111600E+06    0.950502E-07    0.223158E-05    0.179142E-06    0.513271E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.115200E+06    0.952117E-07    0.223166E-05    0.179206E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.118800E+06    0.953457E-07    0.223170E-05    0.179247E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.122400E+06    0.954401E-07    0.223171E-05    0.179275E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.126000E+06    0.955063E-07    0.223173E-05    0.179298E-06    0.513250E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.129600E+06    0.955561E-07    0.223174E-05    0.179316E-06    0.513252E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.133200E+06    0.955967E-07    0.223175E-05    0.179331E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.136800E+06    0.956318E-07    0.223176E-05    0.179344E-06    0.513258E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.140400E+06    0.956628E-07    0.223177E-05    0.179357E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.144000E+06    0.956893E-07    0.223176E-05    0.179367E-06    0.513261E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.147600E+06    0.957088E-07    0.223174E-05    0.179374E-06    0.513258E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.151200E+06    0.957176E-07    0.223172E-05    0.179375E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.154800E+06    0.957141E-07    0.223170E-05    0.179372E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.158400E+06    0.957062E-07    0.223169E-05    0.179369E-06    0.513262E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.162000E+06    0.956980E-07    0.223169E-05    0.179366E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.165600E+06    0.956895E-07    0.223167E-05    0.179363E-06    0.513274E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.169200E+06    0.956811E-07    0.223165E-05    0.179360E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.172800E+06    0.956729E-07    0.223164E-05    0.179356E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.176400E+06    0.956646E-07    0.223162E-05    0.179353E-06    0.513285E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.180000E+06    0.956565E-07    0.223160E-05    0.179349E-06    0.513288E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.183600E+06    0.956485E-07    0.223159E-05    0.179345E-06    0.513290E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.187200E+06    0.956406E-07    0.223158E-05    0.179341E-06    0.513292E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.190800E+06    0.956331E-07    0.223156E-05    0.179338E-06    0.513293E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.194400E+06    0.956496E-07    0.223157E-05    0.179346E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.198000E+06    0.957623E-07    0.223163E-05    0.179400E-06    0.513269E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.201600E+06    0.959211E-07    0.223170E-05    0.179467E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.205200E+06    0.960488E-07    0.223174E-05    0.179517E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.208800E+06    0.961361E-07    0.223175E-05    0.179549E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.212400E+06    0.961953E-07    0.223176E-05    0.179571E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.216000E+06    0.962387E-07    0.223178E-05    0.179586E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.219600E+06    0.962732E-07    0.223179E-05    0.179600E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.223200E+06    0.963028E-07    0.223180E-05    0.179610E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.226800E+06    0.963286E-07    0.223181E-05    0.179620E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.230400E+06    0.963501E-07    0.223180E-05    0.179627E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.234000E+06    0.963649E-07    0.223178E-05    0.179632E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.237600E+06    0.963695E-07    0.223175E-05    0.179633E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.241200E+06    0.963624E-07    0.223173E-05    0.179628E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.244800E+06    0.963507E-07    0.223173E-05    0.179623E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.248400E+06    0.963387E-07    0.223172E-05    0.179619E-06    0.513269E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.252000E+06    0.963268E-07    0.223170E-05    0.179614E-06    0.513273E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.255600E+06    0.963149E-07    0.223169E-05    0.179609E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.259200E+06    0.963032E-07    0.223167E-05    0.179603E-06    0.513280E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.262800E+06    0.962915E-07    0.223166E-05    0.179598E-06    0.513283E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.266400E+06    0.962798E-07    0.223164E-05    0.179592E-06    0.513285E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.270000E+06    0.962682E-07    0.223163E-05    0.179587E-06    0.513287E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.273600E+06    0.962568E-07    0.223162E-05    0.179581E-06    0.513288E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.277200E+06    0.962460E-07    0.223159E-05    0.179576E-06    0.513291E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.280800E+06    0.962591E-07    0.223160E-05    0.179583E-06    0.513280E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.284400E+06    0.963694E-07    0.223166E-05    0.179638E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.288000E+06    0.965248E-07    0.223172E-05    0.179705E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.291600E+06    0.966470E-07    0.223176E-05    0.179754E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.295200E+06    0.967282E-07    0.223177E-05    0.179785E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.298800E+06    0.967819E-07    0.223178E-05    0.179806E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.302400E+06    0.968201E-07    0.223179E-05    0.179820E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
